data_id,r,duration,method,dataset
0,0.6699166962910483,3.617966890335083,RecurrenceManifold,logmap
1,0.6888255004380102,3.4713134765625,RecurrenceManifold,logmap
2,0.6700183769728822,3.4334065914154053,RecurrenceManifold,logmap
3,0.669145619269668,3.478595733642578,RecurrenceManifold,logmap
4,0.5680572393570161,3.469999313354492,RecurrenceManifold,logmap
5,0.7577395565927048,3.4533159732818604,RecurrenceManifold,logmap
6,0.588118054235209,3.4832770824432373,RecurrenceManifold,logmap
7,0.7192886827244648,3.4571118354797363,RecurrenceManifold,logmap
8,0.6224705685331834,3.5097904205322266,RecurrenceManifold,logmap
9,0.7682169126438507,3.451770305633545,RecurrenceManifold,logmap
10,0.603192850170476,3.5763466358184814,RecurrenceManifold,logmap
11,0.7239549766262938,3.476180076599121,RecurrenceManifold,logmap
12,0.7279593736729849,3.5073068141937256,RecurrenceManifold,logmap
13,0.6044660984719341,3.4679269790649414,RecurrenceManifold,logmap
14,0.6898901724901852,3.491786003112793,RecurrenceManifold,logmap
15,0.5598572100604547,3.488492488861084,RecurrenceManifold,logmap
16,0.9330706060985454,3.4654123783111572,RecurrenceManifold,logmap
17,0.778754057529673,3.5814850330352783,RecurrenceManifold,logmap
18,0.6213482848731979,3.4645028114318848,RecurrenceManifold,logmap
19,0.7310770056732863,3.5443007946014404,RecurrenceManifold,logmap
20,0.6590822026666051,3.4773335456848145,RecurrenceManifold,logmap
21,0.7199645405289067,3.485417127609253,RecurrenceManifold,logmap
22,0.8765217037928374,3.412255048751831,RecurrenceManifold,logmap
23,0.6830149028780312,3.4113717079162598,RecurrenceManifold,logmap
24,0.5717492697227811,3.5524449348449707,RecurrenceManifold,logmap
25,0.5735288037526254,3.3624205589294434,RecurrenceManifold,logmap
26,0.732277453996698,3.3646132946014404,RecurrenceManifold,logmap
27,0.6924025572073105,3.3739233016967773,RecurrenceManifold,logmap
28,0.6264836137670504,3.390444040298462,RecurrenceManifold,logmap
29,0.5862425742717773,3.5316178798675537,RecurrenceManifold,logmap
30,0.6213600630652153,3.4586291313171387,RecurrenceManifold,logmap
31,0.7640585671082816,3.4194111824035645,RecurrenceManifold,logmap
32,0.5964520801966307,3.4369568824768066,RecurrenceManifold,logmap
33,0.9717922428948419,3.3627371788024902,RecurrenceManifold,logmap
34,0.8002677238953659,3.453265428543091,RecurrenceManifold,logmap
35,0.7105933420819333,3.3840885162353516,RecurrenceManifold,logmap
36,0.6478551046663797,3.4573147296905518,RecurrenceManifold,logmap
37,0.5548677108969006,3.363687038421631,RecurrenceManifold,logmap
38,0.6516124497065383,3.543926954269409,RecurrenceManifold,logmap
39,0.6645672215010422,3.4071733951568604,RecurrenceManifold,logmap
40,0.6670498989372591,3.5201587677001953,RecurrenceManifold,logmap
41,0.6282662430163625,3.4086103439331055,RecurrenceManifold,logmap
42,0.6619960777743997,3.584031581878662,RecurrenceManifold,logmap
43,0.7403488692766126,3.655524969100952,RecurrenceManifold,logmap
44,0.590427809336756,3.623476266860962,RecurrenceManifold,logmap
45,0.5042509489957963,3.4279630184173584,RecurrenceManifold,logmap
46,0.5848372516710305,3.4300649166107178,RecurrenceManifold,logmap
47,0.7330417606247123,3.464416980743408,RecurrenceManifold,logmap
48,0.7638581665702381,3.4328696727752686,RecurrenceManifold,logmap
49,0.6902424317740917,3.7934975624084473,RecurrenceManifold,logmap
